===== SHEET: How to use (8x1) =====
Ecofy Lead Workspace — UAT scenarios v1.1
Run in the sandbox (ecofy-sandbox.itarang.com) with the seed applied and one standard system per type entered.
P0 scenarios must all pass before go-live. P1 failures need a dated fix plan agreed by both founders.
Each scenario is run by the role shown. Record Pass / Fail / Blocked, the tester, the date, and a screenshot reference in Notes for any failure.
Refs point to BRD requirements, Build Baseline answer ids (S0.1 …), earned rules, and database checks (T01 …) in the schema test file.
Total: 35 scenarios · P0: 25 · P1: 10
===== SHEET: UAT scenarios (36x13) =====
ID | Area | Scenario | Role | Preconditions | Steps | Expected result | Refs | Priority | Result | Tester | Date | Notes
UAT-01 | Intake | Import happy path with bad rows | EA | Seed applied; template v0.3 with 10 rows: 2 duplicates of each other, 1 bad mobile, 1 missing address | Upload → map → validate → commit without ticking consent → tick consent → commit | Commit blocked until consent is ticked. Preview and report: 7 created, 1 duplicate linked, 2 rejected with reasons. Import audit shows who confirmed consent | FR-03.x · T24 | P0 |  |  |  | 
UAT-02 | Intake | Duplicate on open and closed cases | EA | Customer A has an open case; customer B has a closed case without a File | Upload a file containing A and B | A: linked to the open case, no new case. B: same case reopened to S0 with its full history | FR-03 dedupe · T03 | P0 |  |  |  | 
UAT-03 | Intake | Re-upload of a customer whose case reached a File | EA | Customer C's case is closed after a File was created | Upload C again | A new case is created with previous_case_id = old case; the old case and its File are unchanged | FR-03 · FR-14 · T17 | P0 |  |  |  | 
UAT-04 | Qualify | Hot goes straight to the queue | EU | Case assigned to EU at S0 | Set temperature Hot | Case moves to S1 at once and sits at the top of the iTarang queue; EU still sees it read-only | FR-04 · state engine | P0 |  |  |  | 
UAT-05 | Qualify | Warm waits for a push; both Ecofy roles can push | EU, EA | Two Warm cases at S0 | EU pushes own case; EA pushes the other | Warm cases stay in S0 until pushed; both pushes move the case to S1; EU cannot see or push the other EU's lead | FR-04.3 · S0.1 | P0 |  |  |  | 
UAT-06 | Queue | Return to Ecofy | IA | Case at S1 qualified by EU-1 | Return with reason 'Wrong number' | Case goes back to S0, assigned to EU-1 (the qualifier), who is notified; reason in history | FR-05 · S1.3 | P1 |  |  |  | 
UAT-07 | Queue | Ageing counts working hours only | IA | Calendar Mon–Fri 10:00–19:00 | Case enters S1 Friday 18:30; check Monday 10:30 | Ageing shows 1 working hour; no target or SLA colour shown | FR-05 · S1.1 · S1.2 | P1 |  |  |  | 
UAT-08 | Follow-up | Meeting gate to S3 | IC | Case at S2 with no completed meeting | Advance → book EPC visit → complete it with actual time and remarks → advance | First advance fails with GATE_NOT_MET; after a completed EPC visit the case moves to S3 | FR-06 gate · S2.3 · S2.4 | P0 |  |  |  | 
UAT-09 | Follow-up | Appointment rules | IC | Scheduled site visit | Try complete without remarks; mark no-show without reason; reschedule | Both blocked with a clear message; reschedule creates a linked appointment; dashboard shows scheduled vs held and no-show rate | FR-06 · T13 | P1 |  |  |  | 
UAT-10 | Assess | Worked example matches the approved release | IC | Calculator release v1 published | Run the worked example preloaded in the test bench on a real case | Every step value equals the test bench output; assessment stores the release id | FR-07 · FR-08 | P0 |  |  |  | 
UAT-11 | Assess | No power data gives Pending, not Custom | IC | RESI case | Save an assessment with no appliance list, no units and no running load | Status PENDING_TECHNICAL_DATA with the pending text; never shown as 'custom required' | Earned rule 2 · T19 | P0 |  |  |  | 
UAT-12 | Assess | Need larger than any standard system | IC | RESI case | Enter a load above the largest system | Status CUSTOM_REQUIRED with the custom text; options list empty | FR-07 | P1 |  |  |  | 
UAT-13 | Assess | Solar-only and storage-only paths | IC | Systems of all three types exist | Run with interest Solar only, then Storage only, then Not sure | Solar only: no backup-hour question, matched on solar kWp and phase. Storage only: no solar step. Not sure: all types considered | FR-07 system type rule | P1 |  |  |  | 
UAT-14 | Assess | C&I has no calculator | IC | C&I case at S3 | Open assessment | Calculator hidden; message 'EPC quote required'; manual or EPC assessment can be saved and confirmed | S3.2 · C.5 | P0 |  |  |  | 
UAT-15 | Assess | Override needs a reason | IC | Assessment recommends system A | Select system B without a reason, then with a reason | Blocked without reason; saved with reason; override visible in the timeline | C.9 · earned rule 4 | P1 |  |  |  | 
UAT-16 | Calculator | Release approval cycle | IA, EA | Release v1 published | Create draft v2 → change a value → test → submit → EA rejects with note → fix → resubmit → EA approves | Only one draft open; v2 publishes only after EA approval; old assessments still show v1 values | FR-08 · C.1 · T23 | P0 |  |  |  | 
UAT-17 | Offer | Eligibility before quote | IC, EA | Setting s4_order = ELIGIBILITY_FIRST | Try to upload a quote before eligibility; send for eligibility; EA marks eligible | Upload blocked first; after ELIGIBLE the quote upload opens. Changing the setting to QUOTE_FIRST reverses the order for new cases | S4.1 | P0 |  |  |  | 
UAT-18 | Offer | Caller never sees the limit | IC | Eligible with max 2,50,000 | Compose offers with totals 2,40,000 and 2,60,000 | Offer shows 'within limit' then 'above limit' with a warning (not blocked); no amount visible anywhere to the caller, including API responses and exports | S4.6 · T06 | P0 |  |  |  | 
UAT-19 | Offer | Provisional quote | IC | Assessment is PENDING_TECHNICAL_DATA | Upload a quote without the provisional flag; then with the flag and no reason; then with a reason | First two blocked; third saved; offer, File and Ecofy's views show 'Provisional' | Earned rule 3 · T20 | P0 |  |  |  | 
UAT-20 | Offer | Quote versions | IC | Active quote v1 | Upload v2 with notes | v1 superseded; both downloadable; offer uses v2 only | FR-09 · SL | P1 |  |  |  | 
UAT-21 | Acceptance | OTP limits and idempotency | IC | Offer ready | Double-click Send; enter wrong code 5 times; wait 10 minutes; resend inside 60 s; send 4 times in an hour | One SMS for the double click; lock after 5 wrong codes; expiry at 10 min; resend blocked inside 60 s; 4th send in an hour blocked | FR-10 · T18 | P0 |  |  |  | 
UAT-22 | Acceptance | File creation | IC, EA | Offer sent | Enter the correct code | File created, locked to accepted_quote_id and version, total equal to the quote total; case S5→S6; Ecofy notified with offer and quote; File has no edit or delete anywhere. A developer check confirms the database rejects a File with a wrong total, version or OTP chain | FR-10 · earned rule 5 · T25 · T26 | P0 |  |  |  | 
UAT-23 | Financing | Lower sanction and re-acceptance | EA, IC | File total 2,40,000 | EA records sanction 2,10,000; triggers re-acceptance; customer verifies | Sub-status REACCEPTANCE_PENDING; SMS carries financed amount and down payment; caller sees status only; on verify a REVISED acceptance is added to the same File and the case moves to S7 | S6.2 · FR-10.5 | P0 |  |  |  | 
UAT-24 | Financing | Rejection and routing | EA, IA | iTarang-sourced case financed by Ecofy | EA rejects with reason; IA routes to Other NBFC; IA records its sanction | Ecofy loses sight of the case once routed; Other NBFC's amounts visible only to IA | S4.7 · S6.3 · T14 | P0 |  |  |  | 
UAT-25 | Install | Installation before sanction | IC | Case at S6 without sanction | Set installation IN_PROGRESS | Warning; acknowledgement required; installation proceeds while the case stays at S6; case enters S7 only on sanction | S6.4 · state engine note | P0 |  |  |  | 
UAT-26 | Install | Proof before INSTALLED | IC | Installation in progress | Mark INSTALLED without photos; add photos only; add acceptance letter | Blocked until at least one installation photo and the customer acceptance letter are on the case | S7.3 | P0 |  |  |  | 
UAT-27 | Install | Payout and asset | EA, IA | Installed and sanctioned | EA records down payment and disbursement | Case S8 and asset created; IA sees the status but not the amounts | S7.1 · T15 | P0 |  |  |  | 
UAT-28 | Withdraw | Withdrawal before and after acceptance | IC, IA, EA | One case at S2, one at S6 | Request withdrawal on both | S2 closes at once with reason. S6 needs IA confirmation; File kept; EA marks sanction cancelled; IA marks EPC informed | W.1–W.3 | P0 |  |  |  | 
UAT-29 | Asset | Asset records | EA | Active asset | Record EMI status DPD 1-30; record buyback; record redeployment | All recorded with dates; no risk flag or IoT data shown | S8 | P1 |  |  |  | 
UAT-30 | Documents | KYC never enters | IA | — | Try to add document type 'PAN card' and 'Bank statement'; add 'Solar panel photo' | First two rejected; third saved | Rule 10 · T16 | P0 |  |  |  | 
UAT-31 | Retention | Recordings and import data purge | IA | Recording older than 60 days; import older than 30 days | Run the purge jobs (clock moved forward in sandbox) | Recording file deleted, audit row kept; import file and raw rows deleted; row errors kept without raw data | S0.3 · retention | P1 |  |  |  | 
UAT-32 | Access | Login, device and single session | All | User with no trusted device | Log in; enter emailed code; log in again on a second browser | New device needs the email code; device trusted 30 days; the first session is ended with 'signed in elsewhere' | M01 auth | P0 |  |  |  | 
UAT-33 | Access | Seats and usage | IA, EA | Ecofy User cap 2, both used | EA invites a third Ecofy User; IA raises cap to 3; open the usage view | Invite blocked at cap; allowed after IA raises it; usage view shows seats, Files and active assets and blocks nothing | M01 · M17 usage | P1 |  |  |  | 
UAT-34 | Security | Scope and isolation | All | Two tenants in sandbox | Each role opens lists, case detail, exports and API directly with another user's case id | Every out-of-scope record returns 404; CI run of the schema test file passes | T01–T12 | P0 |  |  |  | 
UAT-35 | Platform | No money, no credit decisions | EA | — | Walk every screen and export | No KYC data, no EMI calculation, no underwriting, no payment movement anywhere; financing values only in Ecofy Admin views | Platform boundary | P0 |  |  |  | 
